지역,매장명,현황,주소,매장서비스,전화번호
충북 음성군,국립소방병원점,영업중,충청북도 음성군 맹동면 용두4길 19 (국립소방병원) /두성리 1531,주차,042-882-0240
경기 용인시 수지구,용인수지구청점,영업중,"경기도 용인시 수지구 풍덕천로 119 (수지로얄스포츠센타), 109호 .",주차,031-266-3011
서울 동작구,이수점,영업중,서울특별시 동작구 동작대로25길 16 (사당동) 1층~2층,,02-3478-9029
충남 아산시,아산삼성스토어점,영업중,"충청남도 아산시 모종로 9-17, 삼성스토어 1층 .",주차,041-543-1233
부산 해운대구,부산해운대엘시티점,영업중,"부산 해운대구 달맞이길 30,포디움동  2층 2042~2043호",테라스/주차,051-746-3547
경기 용인시 기흥구,용인동백점,영업중,"경기도 용인시 기흥구 동백중앙로 283 (골드프라자 D동),  203호,204호",주차,.
제주 제주시,제주노형점,영업중,제주특별자치도 제주시 노형13길 9 노형동 3791-11,주차,070-8900-1099
전남 나주시,나주빛가람혁신도시점,영업중,전라남도 나주시 배멧3길 5-4 .,주차,061-334-5466
인천 계양구,아라마루휴게소점,영업중,인천광역시 계양구 아라로 228 (경인아라뱃길아라마루) .,주차,.
전북 군산시,(하)군산휴게소점,영업중,전북특별자치도 군산시 성산면 서해안고속도로 141 군산휴게소 하행 1F HOLLYS,주차,.
충북 음성군,(하)금왕휴게소점,영업중,충청북도 음성군 금왕읍 평택제천고속도로 70 .,주차,.
충북 음성군,(상)금왕휴게소점,영업중,충청북도 음성군 금왕읍 평택제천고속도로 69 .,주차,.
경남 창원시 진해구,진해경화점,영업중,경상남도 창원시 진해구 조천북로 76 (경화동) 1층,주차,055-547-9906
충북 옥천군,금강휴게소점,영업중,충청북도 옥천군 동이면 금강로 596 1층,주차,.
인천 연수구,인천항국제여객터미널점,영업중,인천광역시 연수구 국제항만대로326번길 57 (인천항국제여객터미널 204호) /송도동 300-3,주차,070-4139-9947
인천 중구,인천공항T1 4F점,영업중,"인천광역시 중구 공항로 272 (운서동, 인천공항) T1 4F",,032-743-3718
서울 동대문구,경희대푸른솔문화관점,영업중,서울특별시 동대문구 경희대로 26 경희대학교 푸른솔문화관 1층,주차,.
서울 동대문구,경희대간호이과대점,영업중,서울 동대문구 경희대로 26 경희대학교 간호이과대 지하2층,주차,.
충북 보은군,속리산휴게소점,영업중,충청북도 보은군 마로면 적암길 56-18 /적암리 181-3,주차,.
경기 평택시,평택이충DT점,영업중,경기도 평택시 추담로 30 (이충동 59) .,DT 매장/테라스/주차,031-666-7034
서울 강남구,역삼역점,영업중,"서울특별시 강남구 논현로 503 (역삼동, 송촌빌딩) 제1층 1호 .",,02-318-6381
서울 중구,충무로역점,영업중,"서울특별시 중구 퇴계로36길 2 (필동2가, 동국대학교충무로영상센터) .",주차,02-2268-8960
경기 평택시,평택지산점,영업중,"경기도 평택시 지산로 10, 가이아프레지던스 1층  지산동 808-4, 101,102호",주차,031-8029-9005
서울 영등포구,FKI타워2호점,영업중,"서울특별시 영등포구 여의대로 24 (여의도동, 에프케이아이타워) 1층",,02-782-3647
인천 중구,인천공항T1탑승동점,영업중,인천광역시 중구 공항로 272 (인천공항) 탑승동 A/S 3층,24시간/주차,032-743-3720
부산 강서구,부산명지강변DT점,영업중,부산광역시 강서구 르노삼성대로 586 (명지동) 1-3층,주차,051-710-2800
전북 전주시 덕진구,전북대의과대점,영업중,"전북특별자치도 전주시 덕진구 건지로 20 (금암동, 전북대학교병원) 의학계학생회관1층",주차,063-270-4597
강원 인제군,(하)내린천휴게소점,영업중,"강원도 인제군 상남면 서울양양고속도로 117 양양방향 내린천휴게소, 1층",,.
강원 인제군,(상)내린천휴게소점,영업중,강원도 인제군 상남면 서울양양고속도로 117  서울방향 내린천휴게소 4층,,.
경남 거창군,경남거창점,영업중,경상남도 거창군 거창읍 성산길 130 가지리 1312-4,테라스/주차,055-942-2390
대전 서구,대전호수공원점,영업중,"대전광역시 서구 도안동로 234-42 1,2층 도안동 2336",주차,070-8862-8826
부산 남구,국립부경대청운관점,영업중,"부산광역시 남구 용소로 45 (대연동, 국립부경대학교대연캠퍼스) 청운관 1층",,051-629-7419
강원 홍천군,(상)홍천휴게소R점,영업중,강원도 홍천군 화촌면 서울양양고속도로 83 .,주차,.
경기 이천시,이천점,영업중,"경기도 이천시 어재연로 35, 1~3층 (창전동 160-25)",흡연시설,031-635-6655
충남 공주시,(하)정안알밤휴게소점,영업중,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) .,테라스/주차,
충남 공주시,(상)정안알밤휴게소점,영업중,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) .,테라스/주차,
제주 제주시,제주곽지해수욕장점,영업중,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~3층,,064-799-1137
서울 동작구,신대방삼거리역점,영업중,서울특별시 동작구 상도로 60 (대방동) 1층~2층,,02-823-2377
대전 중구,대전삼부스포렉스점,영업중,"대전광역시 중구 태평로 83, 삼부스포렉스 1층 (태평동 408-11) .",주차,042-301-9960
전북 익산시,익산부송점,영업중,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩 1층) .",주차,063-832-1717
경남 창원시 진해구,진해속천점,영업중,경상남도 창원시 진해구 태평로 132 2~3층,테라스/주차,070-7786-1019
서울 영등포구,여의도포스트타워점,영업중,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층,주차,02-2135-5321
서울 영등포구,대림역점,영업중,서울특별시 영등포구 도림로 140 대림빌딩 101호,테라스,02-834-1000
충남 보령시,대천비치점,영업중,충청남도 보령시 해수욕장4길 12 (신흑동) .,주차,070-4146-0406
부산 동래구,부산동래온천점,영업중,부산광역시 동래구 금강로 116 (온천동) 금강메디컬타워 1층,주차,051-923-5538
서울 서대문구,충정로역점,영업중,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,주차,02-363-0807
부산 사하구,부산고신대의과대학점,영업중,부산광역시 서구 감천로 262 고신의대 강의동 1층,주차,051-710-7565
대구 수성구,대구수성못DI점,영업중,대구광역시 수성구 용학로 62 1~2층,테라스/주차,053-761-7186
경남 진주시,경상국립대학생회관점,영업중,경상남도 진주시 진주대로 501 경상국립대 학생회관 1층,,055-772-0931
서울 양천구,서서울공원점,영업중,서울특별시 양천구 남부순환로58길 37 신월동 205-36,테라스,070-4277-6756
세종 세종시,AK&세종점,영업중,세종특별자치시 한누리대로 411 KT&G 세종타워A,주차,044-960-5377
경기 고양시 일산동구,일산장항점,영업중,"경기도 고양시 일산동구 중앙로1275번길 56 (장항동, 루비튜스데이) 1~2층",주차,031-903-9991
전북 전주시 덕진구,전북대 후생관점,영업중,전북특별자치도 전주시 덕진구 백제대로 567 후생관 1층,주차,.
전북 전주시 덕진구,전북대 진수당점,영업중,전북 전주시 덕진구 백제대로 567 (전북대 진수당 연구동 1층) .,주차,.
전북 전주시 덕진구,전북대 중도라운지점,영업중,전북 전주시 덕진구 백제대로 567 중앙도서관 1층,주차,.
서울 동대문구,경희대 청운관점,영업중,서울 동대문구 경희대로 26 청운관 지하1층,주차,.
서울 강북구,덕성여대점,영업중,서울시 강북구 삼양로 547 1~3층,테라스/주차,02-6093-0011
전북 전주시 덕진구,전주백제대로점,영업중,전라북도 전주시 덕진구 백제대로 592 1층,주차,063-271-5056
서울 영등포구,당산1가점,영업중,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",,02-2679-7942
경북 예천군,경북도청점,영업중,경북 예천군 호명면 산합리 1427 1~2층,주차,054-654-0048
부산 사상구,부산백양대로DI점,영업중,부산광역시 사상구 백양대로 621 (괘법동) 2~4층,주차,051-324-7779
경기 성남시 분당구,분당미금점,영업중,"경기도 성남시 분당구 미금일로90번길 24, B1F ~ 1F /구미동 35-3",주차,010-6857-5532
부산 기장군,부산일광신도시점,영업중,부산광역시 기장군 일광읍 해빛6로 43-20 .,주차,070-4790-2715
서울 중구,메리츠봉래타워점,영업중,서울시 중구 칠패로 28 메리츠강북타워 1층,,02-753-8835
경기 고양시 덕양구,고양시청DI점,영업중,경기도 고양시 덕양구 호국로 730 2F,테라스/주차,031-812-0105
강원 원주시,(춘)치악휴게소점,영업중,강원도 원주시 신림면 다리실2길 32 .,테라스/주차,유선없음
인천 남동구,간석오거리점,영업중,인천광역시 남동구 남동대로 931 (간석동) 씨앤케이 웨딩홀,주차,032-425-0915
대구 수성구,대구범어천로점,영업중,"대구광역시 수성구 범어천로 200 (범어월드메르디앙웨스턴카운티) 102호, 201호",주차,053-759-5779
