store_area,store_point,store_open,store_addr,store_service,store_tel
충북 음성군,국립소방병원점,영업중,충청북도 음성군 맹동면 용두4길 19 (국립소방병원) /두성리 1531,주차,042-882-0240
경기 용인시 수지구,용인수지구청점,영업중,"경기도 용인시 수지구 풍덕천로 119 (수지로얄스포츠센타), 109호 .",주차,031-266-3011
서울 동작구,이수점,영업중,서울특별시 동작구 동작대로25길 16 (사당동) 1층~2층,,02-3478-9029
충남 아산시,아산삼성스토어점,영업중,"충청남도 아산시 모종로 9-17, 삼성스토어 1층 .",주차,041-543-1233
부산 해운대구,부산해운대엘시티점,영업중,"부산 해운대구 달맞이길 30,포디움동  2층 2042~2043호",테라스/주차,051-746-3547
경기 용인시 기흥구,용인동백점,영업중,"경기도 용인시 기흥구 동백중앙로 283 (골드프라자 D동),  203호,204호",주차,.
제주 제주시,제주노형점,영업중,제주특별자치도 제주시 노형13길 9 노형동 3791-11,주차,070-8900-1099
전남 나주시,나주빛가람혁신도시점,영업중,전라남도 나주시 배멧3길 5-4 .,주차,061-334-5466
인천 계양구,아라마루휴게소점,영업중,인천광역시 계양구 아라로 228 (경인아라뱃길아라마루) .,주차,.
전북 군산시,(하)군산휴게소점,영업중,전북특별자치도 군산시 성산면 서해안고속도로 141 군산휴게소 하행 1F HOLLYS,주차,.
